,batch,file,Sam's numbers,Anna's numbers,quality key,consensus
113,11,lst_04:05:54_2018_07_22.tif,0,,,
114,11,lst_04:09:57_2020_08_30.tif,0,,,
115,11,lst_04:10:48_2021_07_16.tif,1,,,
116,11,lst_04:11:40_2021_07_16.tif,0,,,
117,11,lst_04:12:06_2018_09_20.tif,2,2,,2
118,11,lst_04:12:58_2018_09_20.tif,0,,,
119,11,lst_04:14:41_2019_09_17.tif,0,,,
120,11,lst_04:15:33_2019_09_17.tif,0,,,
121,12,lst_04:17:23_2020_05_17.tif,0,,,
122,12,lst_04:18:15_2020_05_17.tif,0,,,
123,12,lst_04:18:27_2019_08_30.tif,0,,,
124,12,lst_04:23:58_2018_09_03.tif,0,,,
125,12,lst_04:24:34_2021_09_14.tif,2,2,,2
126,12,lst_04:26:06_2020_09_15.tif,1,,,
127,12,lst_04:26:58_2020_09_15.tif,0,,,
128,12,lst_04:27:12_2020_06_29.tif,2,0,,
129,12,lst_04:31:26_2019_07_01.tif,2,2,,2
130,12,lst_04:31:50_2018_09_01.tif,0,,,
131,13,lst_04:33:28_2021_04_28.tif,0,,,
132,13,lst_04:33:47_2021_06_27.tif,1,,,
133,13,lst_04:40:19_2020_07_15.tif,1,,,
134,13,lst_04:42:40_2021_08_26.tif,0,,,
135,13,lst_04:43:32_2021_08_26.tif,0,,,
136,13,lst_04:51:16_2020_04_28.tif,2,2,,2
137,13,lst_04:52:11_2021_05_14.tif,2,2,,2
138,13,lst_04:56:02_2020_08_27.tif,2,2,,2
139,13,lst_04:56:03_2021_07_13.tif,0,,,
140,13,lst_05:04:04_2020_05_14.tif,0,,,
141,14,lst_05:04:56_2020_05_14.tif,0,,,
142,14,lst_05:07:10_2019_08_29.tif,2,2,,2
143,14,lst_05:07:49_2021_09_11.tif,0,,,
144,14,lst_05:08:12_2019_07_16.tif,1,,,
145,14,lst_05:11:37_2020_09_12.tif,0,,,
146,14,lst_05:11:54_2018_09_17.tif,1,,,
147,14,lst_05:13:50_2020_06_26.tif,0,,,
148,14,lst_05:18:43_2021_04_25.tif,0,,,
149,14,lst_05:21:09_2021_06_26.tif,1,,,
150,14,lst_05:23:18_2019_06_28.tif,0,,,
151,15,lst_05:23:25_2018_08_31.tif,1,,,
152,15,lst_05:24:17_2018_08_31.tif,0,,,
153,15,lst_05:28:18_2020_07_14.tif,0,,,
154,15,lst_05:39:44_2021_05_13.tif,0,,,
155,15,lst_05:42:42_2021_07_12.tif,0,,,
156,15,lst_05:43:34_2021_07_12.tif,1,,,
157,15,lst_05:43:44_2020_08_26.tif,0,,,
158,15,lst_05:52:39_2019_09_13.tif,0,,,
159,15,lst_05:55:06_2021_09_10.tif,0,,,
160,15,lst_05:56:40_2019_08_26.tif,0,,,
161,16,lst_05:58:57_2020_09_11.tif,1,,,
162,16,lst_05:59:49_2020_09_11.tif,0,,,
163,16,lst_06:01:56_2020_06_25.tif,1,,,
164,16,lst_06:03:30_2018_09_16.tif,0,,,
165,16,lst_06:04:57_2018_07_16.tif,0,,,
166,16,lst_06:05:48_2018_07_16.tif,0,,,
167,16,lst_06:05:48_2021_06_23.tif,1,,,
168,16,lst_06:06:19_2021_04_24.tif,0,,,
169,16,lst_06:11:22_2018_09_14.tif,0,,,
170,16,lst_06:12:47_2019_06_27.tif,1,,,
171,17,lst_06:14:26_2021_08_22.tif,0,,,
172,17,lst_06:22:54_2018_08_28.tif,0,,,
173,17,lst_06:23:46_2018_08_28.tif,1,,,
174,17,lst_06:25:05_2021_05_10.tif,1,,,
175,17,lst_06:25:24_2020_04_24.tif,0,,,
176,17,lst_06:25:57_2021_05_10.tif,0,,,
177,17,lst_06:28:06_2021_07_09.tif,0,,,
178,17,lst_06:29:48_2020_08_23.tif,0,,,
179,17,lst_06:38:25_2020_05_10.tif,0,,,
180,17,lst_06:39:17_2020_05_10.tif,0,,,
181,18,lst_06:42:05_2019_09_10.tif,0,,,
182,18,lst_06:45:03_2020_09_08.tif,0,,,
183,18,lst_06:45:29_2019_08_25.tif,1,,,
184,18,lst_06:48:31_2020_06_22.tif,0,,,
185,18,lst_06:49:00_2019_07_12.tif,1,2,,2
186,18,lst_06:53:27_2021_06_22.tif,1,,,
187,18,lst_07:02:48_2020_07_10.tif,0,,,
188,18,lst_07:02:57_2018_09_13.tif,0,,,
189,18,lst_07:03:49_2018_09_13.tif,0,,,
190,18,lst_07:12:38_2021_05_09.tif,0,,,
191,19,lst_07:14:57_2021_07_08.tif,1,,,
